Transect,Treatment,Stream_Loc,Acacia,Leptospermum,Phragmites,Typha,Native_Pasture_Grasses,Ferns,Melaleuca,Wahlenbergia,Lomandra,Juncus,Carex,Schoenoplectus,Eleocharis,Nymphoides,Cyperus,Rubus,Salix,Populus,Ligustrum,Dock,Exotic_Pasture_Grasses,Cytisus,Circium,Hypericum,Echium,Crataegus,Rosa,Malus,Foeniculum,Myriophyllum,Vallisneria
27,n,u,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,3,5,3,0,0,4,0,1,0,0,0,0,0,0,1,0
27,n,d,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,2,3,4,0,1,4,0,0,0,0,0,0,0,1,0,0
44,n,u,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,4,0,2,1,0,0,0,0,1,0,0
44,n,d,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,3,0,0,0,4,0,2,1,0,0,0,0,0,0,0
43,n,u,0,0,0,1,2,0,0,1,0,0,1,0,0,0,2,3,2,0,0,0,3,0,2,2,0,0,0,0,0,0,2
43,n,d,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,3,0,1,1,0,1,1,0,0,0,0
28,n,d,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,5,0,0,1,3,0,0,0,0,1,0,0,0,0,0
28,n,u,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,5,0,0,1,3,0,0,0,0,1,0,0,0,1,0
21,y,u,1,1,0,2,1,0,1,0,1,3,2,3,3,2,3,1,2,0,0,1,3,0,1,0,0,0,0,1,1,4,0
21,y,d,0,2,0,2,1,0,1,0,0,3,2,1,1,3,1,1,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0
22,y,d,0,3,0,0,3,0,1,0,0,2,1,2,0,1,2,2,3,0,0,0,2,0,2,0,1,0,0,0,0,2,0
22,y,u,0,2,1,0,1,0,0,0,0,1,0,4,1,1,2,3,2,0,0,0,3,0,0,0,1,0,0,0,0,3,0
42,n,u,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,3,2,0,0,1,4,0,2,1,0,0,0,0,2,0,0
42,n,d,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,3,1,0,0,1,4,0,1,2,0,1,1,0,1,0,0
25,n,d,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,3,0,0,0,3,0,4,0,1,0,0,0,0,0,0
25,n,u,1,1,0,0,1,0,1,1,1,2,0,1,0,2,1,3,1,0,0,0,3,0,1,0,1,0,0,0,0,4,0
24,y,d,1,1,0,1,1,0,0,0,1,1,1,2,4,1,1,2,2,0,0,1,2,0,1,0,0,0,0,0,0,5,0
24,y,u,2,1,0,1,1,0,0,0,1,0,1,2,4,1,1,2,2,0,0,0,2,0,1,0,1,0,0,0,0,2,0
23,y,d,0,3,0,0,1,0,0,0,0,0,0,4,0,0,2,3,2,0,0,1,4,0,0,0,0,0,0,0,0,1,0
23,y,u,0,1,0,0,1,0,0,0,0,1,1,2,4,1,3,3,3,0,0,1,4,0,1,0,1,0,0,0,0,3,1
19,y,u,2,3,2,5,2,0,1,0,1,1,2,2,4,2,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,5,5
19,y,d,3,3,1,3,1,0,0,0,1,1,1,2,1,1,2,2,2,0,0,0,4,0,0,2,0,1,0,2,2,4,2
18,y,u,3,2,0,4,1,0,0,0,3,3,3,3,2,3,3,2,2,0,0,0,3,0,0,0,0,0,1,0,1,3,1
18,y,d,2,4,0,3,1,0,2,0,2,3,2,3,2,2,2,2,1,0,0,0,4,0,0,0,0,0,0,0,1,3,2
